mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	20				
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	21				
8	8	28	28	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	22				
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	23				
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	7	#	
8	8	30	30	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	24				
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	25				
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	26				
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	27				
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1		1	1	28				
9	9	32	32	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	6		
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	29				
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	30				
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	31				
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0					1	5__	4	
10	10	36	36	4.0	0	0	Chord	4/4	1	1	1		1	1	32				
10	10	36	36	0.0	0	0	FiguredBass	4/4	2	1	0					1		#__	
10	10	36	36	4.0	0	0	Chord	4/4	2	1	1		1	1	33				
10	10	40	40	0.0	1	1	FiguredBass	4/4	2	1	0					1		#__	
10	10	44	44	0.0	2	2	FiguredBass	4/4	2	1	0					1	_	_	
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6	4	3
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	34				
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	35				
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6	4	
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	36				
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	4__	2__	
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	37				
12	12	44	44	0.0	0	0	FiguredBass	4/4	2	1	0					3/4	_	_	
12	12	44	44	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	38				
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	39				
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	40				
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6		
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	41				
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	42				
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	43				
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	44				
14	14	52	52	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	#		
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	45				
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2		_	_
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	46				
14	14	56	56	0.0	1	1	FiguredBass	4/4	1	1	0					1/2		5__	4
14	14	52	52	0.0	0	0	FiguredBass	4/4	2	1	0					1/4			3__
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	47				
14	14	53	53	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4			3__
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	48				
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/4	_	_	_
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	49				
14	14	55	55	0.0	3/4	3/4	FiguredBass	4/4	2	1	0					1/4	6__	4__	3__
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	50				
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	51				
16	16	60	60	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	7		
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	52				
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6		
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	53				
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	54				
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	55				
17	17	64	64	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6	5	
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	56				
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6		
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	57				
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	58				
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	59				
18	18	68	68	0.0	0	0	FiguredBass	4/4	1	1	0					1	6	5	
18	18	68	68	4.0	0	0	Chord	4/4	1	1	1		1	1	60				
18	18	68	68	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	7		
18	18	68	68	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	61				
18	18	70	70	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/2	7		
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	62				
18	18	72	72	0.0	1	1	FiguredBass	4/4	2	1	0					1/2	8		
19	19	72	72	0.0	0	0	FiguredBass	4/4	1	1	0					1	8	3	
19	19	72	72	4.0	0	0	Chord	4/4	1	1	1		1	1	63				
19	19	72	72	4.0	0	0	Chord	4/4	2	1	1		1	1	64				
