mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2		h6__	
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	26				
9	9	36	36	0.0	1	1	FiguredBass	4/4	1	1	0					1/2		h6__	
9	9	38	38	0.0	3/2	3/2	FiguredBass	4/4	1	1	0					1/2	_	_	
9	9	40	40	0.0	2	2	FiguredBass	4/4	1	1	0					1/2	3	7	
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	27				
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	28				
10	10	36	36	4.0	0	0	Chord	4/4	1	1	1		1	1	29				
10	10	36	36	4.0	0	0	Chord	4/4	2	1	1		1	1	30				
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	31				
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	32				
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6	4	
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	33				
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	34				
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6	4	3
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	35				
13	13	50	50	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	8	3	
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	36				
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	37				
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	38				
14	14	52	52	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6	5	
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	39				
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	#3	8	
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	40				
14	14	52	52	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	7		
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	41				
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	42				
15	15	56	56	0.0	0	0	FiguredBass	4/4	1	1	0					1	8	3	
15	15	56	56	4.0	0	0	Chord	4/4	1	1	1		1	1	43				
15	15	56	56	4.0	0	0	Chord	4/4	2	1	1		1	1	44				
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	45				
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	46				
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6		
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	47				
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	48				
18	18	68	68	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6		
18	18	68	68	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	49				
18	18	70	70	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	4	b3	
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	50				
18	18	72	72	0.0	1	1	FiguredBass	4/4	1	1	0					1/2	6		
18	18	68	68	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	51				
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	52				
19	19	72	72	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	7		
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	53				
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	7		
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	54				
19	19	72	72	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	55				
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	56				
20	20	76	76	4.0	0	0	Chord	4/4	1	1	1		1	1	57				
20	20	76	76	4.0	0	0	Chord	4/4	2	1	1		1	1	58				
