mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
5	5	16	16	0.0	0	0	FiguredBass	4/4	1	1	0							1	8	3	
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1		1	1	19						
5	5	16	16	4.0	0	0	Chord	4/4	2	1	1		1	1	20						
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	6		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	21						
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	22						
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	9__		
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	23						
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	_		
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	24						
7	7	28	28	0.0	1	1	FiguredBass	4/4	1	1	0							1/2	6__		
7	7	24	24	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	_		
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	25						
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	26						
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	27						
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	28						
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	29						
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	5__	3__	
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	30						
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	_	_	
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	31						
8	8	32	32	0.0	1	1	FiguredBass	4/4	1	1	0							1/2	5	3	
8	8	28	28	0.0	0	0	FiguredBass	4/4	2	1	0							3/8	6		
8	8	28	28	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	32						
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	33						
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	34						
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	35						
9	9	32	32	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	6__	5__	
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	36						
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	_	_	
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	37						
9	9	36	36	0.0	1	1	FiguredBass	4/4	1	1	0							1/2	h3	8	
9	9	32	32	0.0	0	0	FiguredBass	4/4	2	1	0							3/8	7		
9	9	32	32	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	38						
9	9	67/2	67/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0							3/8	7		
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	39						
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	40						
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	41						
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0							1	8	3	
10	10	36	36	4.0	0	0	Chord	4/4	1	1	1		1	1	42						
10	10	36	36	4.0	0	0	Chord	4/4	2	1	1		1	1	43						
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	5	3	
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	44						
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	45						0
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	46						
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	6		
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	47						
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	b7		
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	48						
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	49						
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	50						
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	5		
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	51						
13	13	50	50	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	6h		
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	52						
13	13	52	52	0.0	1	1	FiguredBass	4/4	1	1	0							1/2	6h		
13	13	54	54	0.0	3/2	3/2	FiguredBass	4/4	1	1	0							1/2	6__		
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0							1/2	_		
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	53						
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	54						1
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	55						
14	14	52	52	0.0	0	0	FiguredBass	4/4	1	1	0							1	4	8__	
14	14	52	52	4.0	0	0	Chord	4/4	1	1	1		1	1	56						
14	14	52	52	0.0	0	0	FiguredBass	4/4	2	1	0							1/2	3__		
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	57						
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	2	1	0							1/2	_	_	
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	58						
14	14	56	56	0.0	1	1	FiguredBass	4/4	2	1	0							1/2	7		
14	14	58	58	0.0	3/2	3/2	FiguredBass	4/4	2	1	0							1/2	3__		
15	15	56	56	0.0	0	0	FiguredBass	4/4	1	1	0							1	8	3	
15	15	56	56	4.0	0	0	Chord	4/4	1	1	1		1	1	59						
15	15	56	56	4.0	0	0	Chord	4/4	2	1	1		1	1	60						
16	16	60	60	4.0	0	0	Chord	4/4	1	1	1		1	1	61						
16	16	60	60	4.0	0	0	Chord	4/4	2	1	1		1	1	62	835					
17	17	64	64	0.0	0	0	FiguredBass	4/4	1	1	0							1	3	8	
17	17	64	64	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	63						
17	17	64	64	4.0	0	0	Chord	4/4	1	1	1		1	1	64						
17	17	64	64	4.0	0	0	Chord	4/4	2	1	1		1	1	65						
18	18	68	68	4.0	0	0	Chord	4/4	1	1	1		1	1	66						
18	18	68	68	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	6		
18	18	68	68	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	67						2
18	18	69	69	0.0	1/4	1/4	FiguredBass	4/4	2	1	0							1/4	7		
18	18	69	69	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	68	d					
18	18	70	70	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	69						
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	70						
19	19	72	72	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	71						
19	19	72	72	4.0	0	0	Chord	4/4	1	1	1		1	1	72						
19	19	72	72	4.0	0	0	Chord	4/4	2	1	1		1	1	73						
20	20	76	76	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	74						
20	20	78	78	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	6		
20	20	78	78	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	75						
20	20	76	76	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	5		
20	20	76	76	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	76						
20	20	77	77	0.0	1/4	1/4	FiguredBass	4/4	2	1	0							1/4	5		
20	20	77	77	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	77	d					
20	20	78	78	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	78						
21	21	80	80	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	4h__	2__	
21	21	80	80	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	79						
21	21	82	82	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	_	_	
21	21	82	82	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	80						
21	21	84	84	0.0	1	1	FiguredBass	4/4	1	1	0							1/2	6__		
21	21	80	80	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	_		
21	21	80	80	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	81						3
21	21	81	81	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	82						3
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	83						
21	21	82	82	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	84						4
21	21	83	83	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	85						
22	22	84	84	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	86						
22	22	86	86	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	6		
22	22	86	86	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	87						
22	22	84	84	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	5		
22	22	84	84	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	88						5
22	22	85	85	0.0	1/4	1/4	FiguredBass	4/4	2	1	0							1/4	5		
22	22	85	85	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	89						
22	22	86	86	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	90						
23	23	88	88	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	4h__	2__	
23	23	88	88	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	91						
23	23	90	90	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	_	_	
23	23	90	90	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	92						
23	23	92	92	0.0	1	1	FiguredBass	4/4	1	1	0							1/2	6__		
23	23	88	88	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	_		
23	23	88	88	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	93						
23	23	89	89	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	94						6
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	95						
23	23	90	90	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	96						
23	23	91	91	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	97						
24	24	92	92	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	9__		
24	24	92	92	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	98						
24	24	94	94	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	_		
24	24	94	94	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	99						
24	24	96	96	0.0	1	1	FiguredBass	4/4	1	1	0							1/2	6		
24	24	92	92	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	100						
24	24	93	93	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	101						
24	24	94	94	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	102						
24	24	95	95	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	103						
25	25	96	96	0.0	0	0	FiguredBass	4/4	1	1	0							1	6__	5__	
25	25	96	96	4.0	0	0	Chord	4/4	1	1	1		1	1	104						
25	25	96	96	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	_	_	
25	25	96	96	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	105						7
25	25	97	97	0.0	1/4	1/4	FiguredBass	4/4	2	1	0							1/4	_	_	
25	25	97	97	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	106						
25	25	98	98	0.0	1/2	1/2	FiguredBass	4/4	2	1	0							1/4	6__	5__	
25	25	98	98	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	107						8
25	25	99	99	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	108						
26	26	100	100	0.0	0	0	FiguredBass	4/4	1	1	0							1	9		
26	26	100	100	4.0	0	0	Chord	4/4	1	1	1		1	1	109						
26	26	100	100	0.0	0	0	FiguredBass	4/4	2	1	0							1	8		
26	26	100	100	4.0	0	0	Chord	4/4	2	1	1		1	1	110						
26	26	104	104	0.0	1	1	FiguredBass	4/4	2	1	0							1	8		
27	27	104	104	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	5		
27	27	104	104	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	111						
27	27	106	106	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	7		
27	27	106	106	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	112						
27	27	104	104	0.0	0	0	Dynamic	4/4	2	1	0						p				
27	27	104	104	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	6		
27	27	104	104	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	113						
27	27	105	105	0.0	1/4	1/4	FiguredBass	4/4	2	1	0							1/4	6		
27	27	105	105	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	114						
27	27	106	106	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	115						
27	27	107	107	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	116						
28	28	108	108	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	7		
28	28	108	108	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	117						
28	28	110	110	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	7		
28	28	110	110	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	118						
28	28	108	108	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	6		
28	28	108	108	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	119						
28	28	109	109	0.0	1/4	1/4	FiguredBass	4/4	2	1	0							1/4	6		
28	28	109	109	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	120						
28	28	110	110	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	121						
28	28	111	111	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	122						
29	29	112	112	0.0	0	0	FiguredBass	4/4	1	1	0							1/2	7		
29	29	112	112	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	123						
29	29	114	114	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							1/2	3	1	
29	29	114	114	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	124						
29	29	112	112	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	7		
29	29	112	112	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	125						
29	29	113	113	0.0	1/4	1/4	FiguredBass	4/4	2	1	0							1/4	6		
29	29	113	113	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	126						
29	29	114	114	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	127						
29	29	115	115	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	128						
30	30	116	116	0.0	0	0	FiguredBass	4/4	1	1	0							1	6__	5__	
30	30	116	116	4.0	0	0	Chord	4/4	1	1	1		1	1	129						
30	30	116	116	0.0	0	0	Dynamic	4/4	2	1	0						f				
30	30	116	116	0.0	0	0	FiguredBass	4/4	2	1	0							1/4	_	_	
30	30	116	116	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	130						9
30	30	117	117	0.0	1/4	1/4	FiguredBass	4/4	2	1	0							1/4	7		
30	30	117	117	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	131						
30	30	118	118	0.0	1/2	1/2	FiguredBass	4/4	2	1	0							1/4	7		
30	30	118	118	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	132						
30	30	119	119	0.0	3/4	3/4	FiguredBass	4/4	2	1	0							1/4	8		
31	31	120	120	0.0	0	0	FiguredBass	4/4	1	1	0							1	8	3	
31	31	120	120	4.0	0	0	Chord	4/4	1	1	1		1	1	133						
31	31	120	120	4.0	0	0	Chord	4/4	2	1	1		1	1	134						
