mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	staff_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	21						
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	22						
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4	2		
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	23						
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	24						
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	25						
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0						1/4	6	4		
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	26						
8	8	29	29	0.0	1/4	1/4	FiguredBass	4/4	1	1	0						1/4	5	3		
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	27						
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6	4		
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	28						
8	8	28	28	0.0	0	0	FiguredBass	4/4	2	1	0						3/4	5	3		
8	8	28	28	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	29						
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	30						
9	9	32	32	0.0	0	0	FiguredBass	4/4	1	1	0						1	6	5		
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1		1	1	31						
9	9	32	32	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	7			
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	32						3
9	9	33	33	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	7			
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	33						
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/4	8			
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	34						
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0						1	8	3		
10	10	36	36	4.0	0	0	Chord	4/4	1	1	1		1	1	35						
10	10	36	36	4.0	0	0	Chord	4/4	2	1	1		1	1	36						
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	37						
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	38						
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	39						
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6__	4__	3__	
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	40						
12	12	44	44	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	_	_	_	
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	41						4
12	12	45	45	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	5	3		
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	42						
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	43						5
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	44						5
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	45						
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0						1	5	3		
13	13	48	48	4.0	0	0	Chord	4/4	1	1	1		1	1	46						
13	13	48	48	4.0	0	0	Chord	4/4	2	1	1		1	1	47						
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	48						
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	49						
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	50						
15	15	58	58	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6			
15	15	58	58	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	51						
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	52						
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	53						6
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	54						
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	55						7
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	56						
16	16	60	60	4.0	0	0	Chord	4/4	1	1	1		1	1	57						
16	16	60	60	4.0	0	0	Chord	4/4	2	1	1		1	1	58						
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	59						
17	17	67	67	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	60						
18	18	68	68	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
18	18	68	68	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	61						
18	18	70	70	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4	2		
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	62						
18	18	68	68	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	63						8
18	18	69	69	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	64						
18	18	70	70	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	65						9
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	66						
19	19	72	72	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	67						
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	68						
19	19	72	72	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	6	4		
19	19	72	72	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	69						10
19	19	73	73	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	70						
19	19	74	74	0.0	1/2	1/2	StaffText	4/4	2	1	0					"<font size=""11.9962""/>/"					
19	19	75	75	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	71						
20	20	76	76	0.0	0	0	FiguredBass	4/4	1	1	0						1	6	5		
20	20	76	76	4.0	0	0	Chord	4/4	1	1	1		1	1	72						
20	20	76	76	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	#			
20	20	76	76	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	73						11
20	20	77	77	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	74						
20	20	78	78	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	75						
21	21	80	80	4.0	0	0	Chord	4/4	1	1	1		1	1	76						
21	21	80	80	4.0	0	0	Chord	4/4	2	1	1		1	1	77						
22	22	86	86	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	78						
23	23	88	88	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	79						
23	23	90	90	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	5	3		
23	23	90	90	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	80						
23	23	89	89	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	81						
23	23	90	90	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	82						12
23	23	91	91	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	83						
24	24	92	92	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	84						
24	24	94	94	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6			
24	24	94	94	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	85						
24	24	92	92	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	4	2		
24	24	92	92	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	86						13
24	24	93	93	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	87						
24	24	94	94	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	88						
25	25	96	96	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
25	25	96	96	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	89						
25	25	98	98	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	9			
25	25	98	98	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	90						
25	25	96	96	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	8			
25	25	96	96	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	91						14
25	25	97	97	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	8			
25	25	97	97	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	92						
25	25	98	98	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/4	6	5		
25	25	98	98	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	93						
26	26	100	100	0.0	0	0	FiguredBass	4/4	1	1	0						1	4			
26	26	100	100	4.0	0	0	Chord	4/4	1	1	1		1	1	94						
26	26	100	100	0.0	0	0	FiguredBass	4/4	2	1	0						1	#			
26	26	100	100	4.0	0	0	Chord	4/4	2	1	1		1	1	95						
26	26	104	104	0.0	1	1	FiguredBass	4/4	2	1	0						1	#			
27	27	106	106	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6			
27	27	106	106	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	96						
27	27	104	104	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	5			
27	27	106	106	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/2	5			
27	27	106	106	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	97						
28	28	108	108	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	5			
28	28	108	108	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	98						
28	28	108	108	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	99						
28	28	110	110	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6			
28	28	110	110	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	100						
28	28	108	108	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	101						15
28	28	109	109	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	102						
28	28	110	110	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	103						16
28	28	111	111	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	104						
29	29	112	112	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
29	29	112	112	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	105						
29	29	114	114	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6	4		
29	29	114	114	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	106						
29	29	112	112	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	107						17
29	29	113	113	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	108						
29	29	114	114	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	109						18
29	29	115	115	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	110						
30	30	116	116	0.0	0	0	FiguredBass	4/4	1	1	0						1	4	8		
30	30	116	116	4.0	0	0	Chord	4/4	1	1	1		1	1	111						
30	30	116	116	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	3	7		
30	30	116	116	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	112						
30	30	118	118	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	113						
31	31	120	120	0.0	0	0	FiguredBass	4/4	1	1	0						1	8	3		
31	31	120	120	4.0	0	0	Chord	4/4	1	1	1		1	1	114						
31	31	120	120	4.0	0	0	Chord	4/4	2	1	1		1	1	115						
