mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	staff_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
9	9	32	32	0.0	0	0	FiguredBass	4/4	1	1	0						1	8	3		
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1		1	1	30						
9	9	32	32	4.0	0	0	Chord	4/4	2	1	1		1	1	31						
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	5	3		
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	32						
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4	2		
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	33						
10	10	36	36	0.0	0	0	FiguredBass	4/4	2	1	0						1	3			
10	10	36	36	4.0	0	0	Chord	4/4	2	1	1		1	1	34						
10	10	40	40	0.0	1	1	FiguredBass	4/4	2	1	0						1	3			
11	11	40	40	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	35						
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6			
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	36						
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	37						
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	38						1
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	39						
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	40						
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6			
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	41						
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	42						
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	43						2
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	44						
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0						1	4			
13	13	48	48	4.0	0	0	Chord	4/4	1	1	1		1	1	45						
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0						1	h			
13	13	48	48	4.0	0	0	Chord	4/4	2	1	1		1	1	46						
13	13	52	52	0.0	1	1	FiguredBass	4/4	2	1	0						1	h			
14	14	52	52	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	47						
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	5			
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	48						
14	14	56	56	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	5			
14	14	58	58	0.0	3/2	3/2	FiguredBass	4/4	1	1	0						1/2	4	2		
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	49						
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	50						
15	15	56	56	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	51						
15	15	58	58	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6	5h		
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	52						
15	15	56	56	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	53						
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	54						
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	55						
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	56						
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	57						
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	58						
17	17	64	64	0.0	0	0	FiguredBass	4/4	1	1	0						1	5__	4		
17	17	64	64	4.0	0	0	Chord	4/4	1	1	1		1	1	59						
17	17	64	64	0.0	0	0	FiguredBass	4/4	2	1	0						1		3__		
17	17	64	64	4.0	0	0	Chord	4/4	2	1	1		1	1	60						
17	17	68	68	0.0	1	1	FiguredBass	4/4	2	1	0						1		3__		
17	17	72	72	0.0	2	2	FiguredBass	4/4	2	1	0						1	_	_		
18	18	68	68	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	61						
18	18	70	70	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	62						
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	63						
18	18	68	68	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	6	5h		
18	18	68	68	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	64						
18	18	70	70	0.0	1/2	1/2	StaffText	4/4	2	1	0					"<font size=""11.9962""/>/"					
18	18	70	70	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	65						3
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	66						
19	19	72	72	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	4			
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	67						
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	3			
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	68						
19	19	76	76	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	3			
19	19	78	78	0.0	3/2	3/2	FiguredBass	4/4	1	1	0						1/2	6			
19	19	72	72	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	5			
19	19	72	72	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	69						
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/2	5			
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	70						
20	20	76	76	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	9			
20	20	76	76	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	71						
20	20	76	76	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	72						
20	20	78	78	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	8			
20	20	78	78	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	73						
20	20	80	80	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	8			
20	20	82	82	0.0	3/2	3/2	FiguredBass	4/4	1	1	0						1/2	7			
20	20	76	76	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	6			
20	20	76	76	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	74						
20	20	78	78	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/2	6			
20	20	78	78	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	75						
21	21	80	80	0.0	0	0	FiguredBass	4/4	1	1	0						1	9			
21	21	80	80	4.0	0	0	Chord	4/4	1	1	1		1	1	76						
21	21	80	80	0.0	0	0	FiguredBass	4/4	2	1	0						1	8			
21	21	80	80	4.0	0	0	Chord	4/4	2	1	1		1	1	77						
21	21	84	84	0.0	1	1	FiguredBass	4/4	2	1	0						1	8			
21	21	88	88	0.0	2	2	FiguredBass	4/4	2	1	0						1	h7			
22	22	84	84	0.0	0	0	FiguredBass	4/4	1	1	0						1	9			
22	22	84	84	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	78						
22	22	84	84	4.0	0	0	Chord	4/4	1	1	1		1	1	79						
22	22	84	84	0.0	0	0	FiguredBass	4/4	2	1	0						1	8			
22	22	84	84	4.0	0	0	Chord	4/4	2	1	1		1	1	80						
22	22	88	88	0.0	1	1	FiguredBass	4/4	2	1	0						1	8			
23	23	88	88	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	4	2		
23	23	88	88	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	81						
23	23	90	90	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	7	#		
23	23	90	90	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	82						
23	23	90	90	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	83						
23	23	88	88	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	84						
23	23	90	90	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	85						
24	24	92	92	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	86						
24	24	94	94	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	h			
24	24	94	94	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	87						
24	24	92	92	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	88						
24	24	94	94	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	89						4
24	24	95	95	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	90						
25	25	96	96	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
25	25	96	96	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	91						
25	25	98	98	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4	2		
25	25	98	98	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	92						
25	25	100	100	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	6			
25	25	96	96	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	93						
25	25	98	98	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	94						5
25	25	99	99	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	95						
26	26	100	100	0.0	0	0	FiguredBass	4/4	1	1	0						1	6	4	3	
26	26	100	100	4.0	0	0	Chord	4/4	1	1	1		1	1	96						
26	26	100	100	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	5__	3__		
26	26	100	100	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	97						
26	26	102	102	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/2	_	_		
26	26	102	102	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	98						6
26	26	103	103	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	99						
27	27	104	104	0.0	0	0	FiguredBass	4/4	1	1	0						1	6	5h		
27	27	104	104	4.0	0	0	Chord	4/4	1	1	1		1	1	100						
27	27	104	104	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	5	3		
27	27	104	104	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	101						7
27	27	105	105	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	5	3		
27	27	105	105	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	102						
27	27	106	106	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/4	5	3		
27	27	106	106	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	103						
27	27	107	107	0.0	3/4	3/4	FiguredBass	4/4	2	1	0						1/4	6	4		
