mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	18				
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6	5	
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	19				
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	4	2	
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	20				
7	7	28	28	0.0	1	1	FiguredBass	4/4	1	1	0					1/2	4	2	
7	7	30	30	0.0	3/2	3/2	FiguredBass	4/4	1	1	0					1/2	6__		
7	7	24	24	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	_		
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	21				
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	22				0
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	23				
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0					1	4	8__	
8	8	28	28	4.0	0	0	Chord	4/4	1	1	1		1	1	24				
8	8	28	28	0.0	0	0	FiguredBass	4/4	2	1	0					1	3__		
8	8	28	28	4.0	0	0	Chord	4/4	2	1	1		1	1	25				
8	8	32	32	0.0	1	1	FiguredBass	4/4	2	1	0					1	3__		
8	8	36	36	0.0	2	2	FiguredBass	4/4	2	1	0					1	_	_	
8	8	40	40	0.0	3	3	FiguredBass	4/4	2	1	0					1	7		
9	9	32	32	0.0	0	0	FiguredBass	4/4	1	1	0					1	8	3	
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1		1	1	26				
9	9	32	32	4.0	0	0	Chord	4/4	2	1	1		1	1	27				
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	4h	2	
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	28				
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	29				
11	11	40	40	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6		
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	30				
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	4	2	
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	31				
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	32				
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	33				
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6		
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	34				
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6	5	
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	35				
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	36				
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	37				
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0					1	9		
13	13	48	48	4.0	0	0	Chord	4/4	1	1	1		1	1	38				
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0					1	8		
13	13	48	48	4.0	0	0	Chord	4/4	2	1	1		1	1	39				
13	13	52	52	0.0	1	1	FiguredBass	4/4	2	1	0					1	8		
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	4	2	
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	40				
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	41				
15	15	56	56	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6		
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	42				
15	15	58	58	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	5		
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	43				
15	15	56	56	0.0	0	0	FiguredBass	4/4	2	1	0					3/4	5		
15	15	56	56	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	44				
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	45				
16	16	60	60	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6	5	
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	46				
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	4h	b	
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	47				
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	48				
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	49				
17	17	64	64	0.0	0	0	FiguredBass	4/4	1	1	0					1	6		
17	17	64	64	4.0	0	0	Chord	4/4	1	1	1		1	1	50				
17	17	64	64	4.0	0	0	Chord	4/4	2	1	1		1	1	51				
18	18	70	70	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6		
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	52				
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	53				
19	19	72	72	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6		
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	54				
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						5__		
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						5__		
19	19	74	74	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	55				
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	56				
19	19	72	72	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	57				
19	19	74	74	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	58				1
19	19	75	75	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	59				
20	20	76	76	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	_		
20	20	76	76	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	60				
20	20	78	78	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6		
20	20	78	78	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6		
20	20	78	78	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	61				
20	20	76	76	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	62				
20	20	78	78	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	63				
21	21	80	80	0.0	0	0	FiguredBass	4/4	1	1	0					1	9		
21	21	80	80	4.0	0	0	Chord	4/4	1	1	1		1	1	64				
21	21	80	80	0.0	0	0	FiguredBass	4/4	2	1	0					1	8		
21	21	80	80	4.0	0	0	Chord	4/4	2	1	1		1	1	65				
21	21	84	84	0.0	1	1	FiguredBass	4/4	2	1	0					1	8		
22	22	86	86	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6	5b	
22	22	86	86	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	66				
22	22	86	86	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	67				
23	23	88	88	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6		
23	23	88	88	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	68				
23	23	90	90	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2		h__	
23	23	90	90	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	69				
23	23	88	88	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	7		
23	23	88	88	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	70				2
23	23	89	89	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	71				
23	23	90	90	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	72				3
23	23	91	91	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	73				
24	24	92	92	0.0	0	0	FiguredBass	4/4	1	1	0					1/2		_	
24	24	92	92	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	74				
24	24	94	94	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6__	5__	
24	24	94	94	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2		_	
24	24	94	94	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	75				
24	24	96	96	0.0	1	1	FiguredBass	4/4	1	1	0					1/2		b__	
24	24	92	92	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	76				4
24	24	93	93	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	77				
24	24	94	94	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	78				5
24	24	95	95	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	79				
25	25	96	96	0.0	0	0	FiguredBass	4/4	1	1	0					1	_	_	
25	25	96	96	4.0	0	0	Chord	4/4	1	1	1		1	1	80				
25	25	100	100	0.0	1	1	FiguredBass	4/4	1	1	0					1	6	5b	
25	25	96	96	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	5	3	
25	25	96	96	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	81				
25	25	98	98	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	82				
26	26	100	100	0.0	0	0	FiguredBass	4/4	1	1	0					1	6	4	
26	26	100	100	4.0	0	0	Chord	4/4	1	1	1		1	1	83				
26	26	100	100	0.0	0	0	FiguredBass	4/4	2	1	0					1	5	3	
26	26	100	100	4.0	0	0	Chord	4/4	2	1	1		1	1	84				
26	26	104	104	0.0	1	1	FiguredBass	4/4	2	1	0					1	5	3	
