mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	5	3	
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	17					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	18					
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	4	2	
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	19					
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6		
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	20					
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	21					
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	22					
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	23					
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	24					
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6__		
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	25					
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	26					
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	27					
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	28					
9	9	32	32	0.0	0	0	FiguredBass	4/4	1	1	0						1	_		
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1		1	1	29					
9	9	36	36	0.0	1	1	FiguredBass	4/4	1	1	0						1	4		
9	9	32	32	0.0	0	0	FiguredBass	4/4	2	1	0						1/2		7__	
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	30					
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/2		7__	
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	31					
9	9	36	36	0.0	1	1	FiguredBass	4/4	2	1	0						1/2	_	_	
9	9	38	38	0.0	3/2	3/2	FiguredBass	4/4	2	1	0						1/2	3__	8	
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0						1	8	3	
10	10	36	36	4.0	0	0	Chord	4/4	1	1	1		1	1	32					
10	10	36	36	4.0	0	0	Chord	4/4	2	1	1		1	1	33					
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6		
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	34					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	35					
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	36					
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	5	#	
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	37					
12	12	44	44	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	7		
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	38	347				
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/2	7		
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	39					
13	13	48	48	4.0	0	0	Chord	4/4	1	1	1		1	1	40					
13	13	48	48	4.0	0	0	Chord	4/4	2	1	1		1	1	41					
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	42					
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	43					
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	44					
15	15	58	58	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6		
15	15	58	58	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	45					
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	46					
15	15	56	56	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	47					
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	48					0
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	49					
16	16	60	60	0.0	0	0	FiguredBass	4/4	1	1	0						1	4		
16	16	60	60	4.0	0	0	Chord	4/4	1	1	1		1	1	50					
16	16	60	60	0.0	0	0	FiguredBass	4/4	2	1	0						1	3		
16	16	60	60	4.0	0	0	Chord	4/4	2	1	1		1	1	51					
16	16	64	64	0.0	1	1	FiguredBass	4/4	2	1	0						1	3		
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6		
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	52					
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	53					
18	18	68	68	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6		
18	18	68	68	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	54					
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	55					
18	18	68	68	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	56					
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	57					
19	19	72	72	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6		
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	58					
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6		
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	59					
19	19	72	72	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	60					
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	61					
20	20	76	76	0.0	0	0	FiguredBass	4/4	1	1	0						1	6	5	
20	20	76	76	4.0	0	0	Chord	4/4	1	1	1		1	1	62					
20	20	76	76	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	#		
20	20	76	76	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	63					
20	20	78	78	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	64					
21	21	80	80	4.0	0	0	Chord	4/4	1	1	1		1	1	65					
21	21	80	80	4.0	0	0	Chord	4/4	2	1	1		1	1	66					
22	22	86	86	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	67					
22	22	86	86	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	68					
23	23	88	88	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	69					
23	23	90	90	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6		
23	23	90	90	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	70					
23	23	88	88	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	71					
23	23	90	90	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	72					
24	24	92	92	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	73					
24	24	94	94	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	h7		
24	24	94	94	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	74					
24	24	92	92	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	75					
24	24	94	94	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	76					
25	25	96	96	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	5		
25	25	96	96	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	77					
25	25	98	98	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6		
25	25	98	98	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	78					
25	25	100	100	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	6		
25	25	102	102	0.0	3/2	3/2	FiguredBass	4/4	1	1	0						1/2	6__		
25	25	96	96	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	_		
25	25	96	96	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	79					
25	25	98	98	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	80					
25	25	99	99	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	81					
26	26	100	100	0.0	0	0	FiguredBass	4/4	1	1	0						1	4		
26	26	100	100	4.0	0	0	Chord	4/4	1	1	1		1	1	82					
26	26	100	100	0.0	0	0	FiguredBass	4/4	2	1	0						1	3		
26	26	100	100	4.0	0	0	Chord	4/4	2	1	1		1	1	83					
26	26	104	104	0.0	1	1	FiguredBass	4/4	2	1	0						1	3		
27	27	106	106	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	5	3	
27	27	106	106	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	84					
27	27	106	106	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	85					
28	28	108	108	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6	4	
28	28	108	108	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	86					
28	28	108	108	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	87					
28	28	110	110	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4	2	
28	28	110	110	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	88					
28	28	108	108	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	89					
28	28	110	110	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	90					
29	29	112	112	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6		
29	29	112	112	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	91					
29	29	114	114	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6	4	
29	29	114	114	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	92					
29	29	112	112	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	93					
29	29	114	114	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	94					
30	30	116	116	0.0	0	0	FiguredBass	4/4	1	1	0						1	6	5	
30	30	116	116	4.0	0	0	Chord	4/4	1	1	1		1	1	95					
30	30	116	116	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	7		
30	30	116	116	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	96					
30	30	118	118	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/2	7		
30	30	118	118	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	97					
30	30	120	120	0.0	1	1	FiguredBass	4/4	2	1	0						1/2	8		
31	31	120	120	0.0	0	0	FiguredBass	4/4	1	1	0						1	8	3	
31	31	120	120	4.0	0	0	Chord	4/4	1	1	1		1	1	98					
31	31	120	120	4.0	0	0	Chord	4/4	2	1	1		1	1	99					
