mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
7	7	24	24	4.0	0	0	Chord	4/4	2	1	1	1	1	24						
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	25						
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	5	3		
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	26						
8	8	28	28	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	6	4		
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	27	6d8					
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	28	dd3					
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	29						3
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	30						
9	9	32	32	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6			
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	31						
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6			
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	32						4
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	33						
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	34						
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	9			4
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	35						4
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6			
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	36						
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	37						
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	38						
11	11	40	40	0.0	0	0	FiguredBass	4/4	1	1	0					1	4			
11	11	40	40	4.0	0	0	Chord	4/4	1	1	1	1	1	39						
11	11	40	40	0.0	0	0	FiguredBass	4/4	2	1	0					1	3			
11	11	40	40	4.0	0	0	Chord	4/4	2	1	1	1	1	40						
11	11	44	44	0.0	1	1	FiguredBass	4/4	2	1	0					1	3			
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	41						
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	42						
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	7			
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	43						
13	13	50	50	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	h7			
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	44						
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	45						
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	46						
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	47						
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6	h		
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	48						
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	49						
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	50						
15	15	56	56	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	h7	5	#	
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	51						
15	15	58	58	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	#3	8		
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	52						
15	15	56	56	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	7			
15	15	56	56	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	53						
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	54						
16	16	60	60	0.0	0	0	FiguredBass	4/4	1	1	0					1	8	3		
16	16	60	60	4.0	0	0	Chord	4/4	1	1	1	1	1	55						
16	16	60	60	4.0	0	0	Chord	4/4	2	1	1	1	1	56						
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6	4	3	
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	57						
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	58						
18	18	68	68	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6	4		
18	18	68	68	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	59						
18	18	70	70	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6			
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	60						
18	18	68	68	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	61						
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	62						
19	19	72	72	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6	5h		
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	63						
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6			
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	64						
19	19	72	72	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	65						
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	66						
20	20	76	76	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6	4h		
20	20	76	76	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	67						
20	20	78	78	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	5	3		
20	20	78	78	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	68						
20	20	76	76	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	69						
20	20	78	78	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	70						
21	21	80	80	4.0	0	0	Chord	4/4	1	1	1	1	1	71						
21	21	80	80	4.0	0	0	Chord	4/4	2	1	1	1	1	72						
22	22	86	86	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	73						
22	22	86	86	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	74						
23	23	88	88	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6__	4__		
23	23	88	88	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	75						
23	23	90	90	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/4	_	_		
23	23	90	90	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	76						5
23	23	91	91	0.0	3/4	3/4	FiguredBass	4/4	1	1	0					1/4	5	3		
23	23	91	91	0.0	3/4	3/4	FiguredBass	4/4	1	1	0					1/4	6	4		
23	23	91	91	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	77						
23	23	88	88	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	78						
23	23	89	89	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	79						
23	23	90	90	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	80						
24	24	92	92	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	7__	5__		
24	24	92	92	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	81						
24	24	94	94	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	_	_		
24	24	94	94	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	82						
24	24	96	96	0.0	1	1	FiguredBass	4/4	1	1	0					1/2	6__	4__		
24	24	92	92	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	83						
24	24	93	93	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	84						
24	24	94	94	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	85						
24	24	95	95	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	86						
25	25	96	96	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	_	_		
25	25	96	96	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	87						
25	25	98	98	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	5__	7__		
25	25	98	98	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	_	_		
25	25	98	98	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	88						6
25	25	100	100	0.0	1	1	FiguredBass	4/4	1	1	0					1/2	3	5		6
25	25	96	96	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	89						
25	25	97	97	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	90						
25	25	98	98	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	91						
26	26	100	100	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	9			6
26	26	100	100	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	92						6
26	26	102	102	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	7			
26	26	102	102	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	93						
26	26	100	100	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	94						
26	26	102	102	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	95						
27	27	104	104	0.0	0	0	FiguredBass	4/4	1	1	0					1	4			
27	27	104	104	4.0	0	0	Chord	4/4	1	1	1	1	1	96						
27	27	104	104	0.0	0	0	FiguredBass	4/4	2	1	0					1	3			
27	27	104	104	4.0	0	0	Chord	4/4	2	1	1	1	1	97						
27	27	108	108	0.0	1	1	FiguredBass	4/4	2	1	0					1	3			
