mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1		1	1	19					
5	5	16	16	4.0	0	0	Chord	4/4	2	1	1		1	1	20					
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	5	3	
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	21					
6	6	20	20	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	4	3	
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	22					
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6		
7	7	24	24	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	23					
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	24					
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	7		
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	25					
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	26					
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	27					
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	8		
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	28					
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							7		
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							7		
8	8	30	30	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	29					
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	30					
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	31					
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	32					
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	33					3
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	34					
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	35					
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	36	548				
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	37	53d				
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0						1	8	3	
10	10	36	36	4.0	0	0	Chord	4/4	1	1	1		1	1	38					
10	10	36	36	4.0	0	0	Chord	4/4	2	1	1		1	1	39					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	40					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	41					
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6	4	
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	42					
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	5	7	
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	43					
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	44					
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	45					
13	13	48	48	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6	4	
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	46					
13	13	50	50	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4	2	
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	47					
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	48					
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	49					
14	14	52	52	0.0	0	0	FiguredBass	4/4	1	1	0						1/4	6	4	
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	50					4
14	14	53	53	0.0	1/4	1/4	FiguredBass	4/4	1	1	0						1/4	4	2	
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	51					
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6		
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	52					
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	53					5
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	54					
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	55					6
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	56					
15	15	56	56	0.0	0	0	FiguredBass	4/4	1	1	0						1	4		
15	15	56	56	4.0	0	0	Chord	4/4	1	1	1		1	1	57					
15	15	56	56	0.0	0	0	FiguredBass	4/4	2	1	0						1	3		
15	15	56	56	4.0	0	0	Chord	4/4	2	1	1		1	1	58					
15	15	60	60	0.0	1	1	FiguredBass	4/4	2	1	0						1	3		
16	16	62	62	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6		
16	16	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	59					
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	60					
17	17	64	64	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6	4	
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	61					
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	5	#	
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	62					
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	63					
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	64					
18	18	68	68	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	65					
18	18	70	70	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	5	3	
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	66					
18	18	68	68	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	67					7
18	18	69	69	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	68					
18	18	70	70	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	69					8
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	70					
19	19	72	72	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	3	5	
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	71					
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4	2	
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	72					
19	19	72	72	4.0	0	0	Chord	4/4	2	1	1		1	1	73					
20	20	76	76	0.0	0	0	FiguredBass	4/4	1	1	0						1	6		
20	20	76	76	4.0	0	0	Chord	4/4	1	1	1		1	1	74					
20	20	76	76	4.0	0	0	Chord	4/4	2	1	1		1	1	75					
21	21	82	82	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	76					
21	21	82	82	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	77					
22	22	84	84	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	5	3__	
22	22	84	84	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	78					
22	22	84	84	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	79					
22	22	86	86	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6__		
22	22	86	86	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	80					
22	22	84	84	0.0	0	0	FiguredBass	4/4	2	1	0						3/4	6__		
22	22	84	84	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	81					
22	22	87	87	0.0	3/4	3/4	FiguredBass	4/4	2	1	0						3/4	_		
22	22	87	87	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	82					
22	22	90	90	0.0	3/2	3/2	FiguredBass	4/4	2	1	0						3/4		_	
22	22	93	93	0.0	9/4	9/4	FiguredBass	4/4	2	1	0						3/4		3	
23	23	88	88	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	8		
23	23	88	88	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	83					
23	23	90	90	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							7		
23	23	90	90	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							7		
23	23	90	90	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	84					
23	23	90	90	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	85					
23	23	88	88	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	86					
23	23	90	90	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	87					
24	24	92	92	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	88					9
24	24	93	93	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	89					
24	24	94	94	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	90					
24	24	92	92	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	91	548				
24	24	94	94	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	92	537				
25	25	96	96	0.0	0	0	FiguredBass	4/4	1	1	0						1	5	3	
25	25	96	96	4.0	0	0	Chord	4/4	1	1	1		1	1	93					
25	25	96	96	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	5	3	
25	25	96	96	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	94					10
25	25	97	97	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	5	3	
25	25	97	97	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	95					
25	25	98	98	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/4	5	3	
25	25	98	98	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	96					
25	25	99	99	0.0	3/4	3/4	FiguredBass	4/4	2	1	0						1/4	6	4	
