mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	5	3		
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	0					
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6__			
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	1					
1	1	0	0	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	6	4	3	
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	2					0
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	3					
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	4					1
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	5					
2	2	4	4	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	_			
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	6					
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	7			
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	5__	3__		
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	7					
2	2	4	4	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	_	_		
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	8					2
2	2	5	5	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	7	#		
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	9					
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	10					3
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	11					
3	3	8	8	0.0	0	0	FiguredBass	4/4	1	1	0					1	4			
3	3	8	8	4.0	0	0	Chord	4/4	1	1	1		1	1	12					
3	3	8	8	0.0	0	0	FiguredBass	4/4	2	1	0					3/4	3h__			
3	3	8	8	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	13					
3	3	11	11	0.0	3/4	3/4	FiguredBass	4/4	2	1	0					3/4	_			
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	14					
4	4	12	12	0.0	0	0	FiguredBass	4/4	1	1	0					1	6	5		
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1		1	1	15					
4	4	12	12	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	5	3		
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	16					
4	4	13	13	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	5	3		
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	17					
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/4	b			
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	18					
4	4	15	15	0.0	3/4	3/4	FiguredBass	4/4	2	1	0					1/4	6	4		
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	19					
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6			
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	20					
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	21					
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	22					4
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	23					
6	6	20	20	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	h__			
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	24					
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	_			
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	25					
6	6	24	24	0.0	1	1	FiguredBass	4/4	1	1	0					1/2	6			
6	6	20	20	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	#__			
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	26					
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	27					
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	28					5
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	29					
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	30					
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0					1	_			
7	7	24	24	4.0	0	0	Chord	4/4	1	1	1		1	1	31					
7	7	28	28	0.0	1	1	FiguredBass	4/4	1	1	0					1	6			
7	7	24	24	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	_			
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	32					6
7	7	25	25	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	6__			6
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	33					6
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	34					
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	35					
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	36					
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0					1	7	#		
8	8	28	28	4.0	0	0	Chord	4/4	1	1	1		1	1	37					
8	8	28	28	4.0	0	0	Chord	4/4	2	1	1		1	1	38					
9	9	32	32	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	3	5		
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	39					
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						4	3		
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6__	4__		
9	9	34	34	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	40					
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	41					
9	9	32	32	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	_	_		
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	42					
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	43					7
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	44					
10	10	36	36	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	4__			
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	45					
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	_			
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	46					
10	10	40	40	0.0	1	1	FiguredBass	4/4	1	1	0					1/2	#__			
10	10	36	36	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	_			
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	47					8
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	48					
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	49					9
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	50					
11	11	40	40	0.0	0	0	FiguredBass	4/4	1	1	0					1	6	5h		
11	11	40	40	4.0	0	0	Chord	4/4	1	1	1		1	1	51					
11	11	40	40	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	b			
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	52					10
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	53					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	54					
12	12	44	44	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6	4		
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	55					
12	12	44	44	0.0	0	0	FiguredBass	4/4	2	1	0					1/2	5	3		
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	56					
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	57					
13	13	50	50	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	4__	2__		
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	58					
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	_	_		
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	59					11
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	60					
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	61					12
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	62					
14	14	52	52	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6			
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	63					
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6__	4__		
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	64					
14	14	52	52	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	_	_		
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	65					13
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	66					
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	67					14
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	68					
15	15	56	56	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	4__			
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	69					
15	15	58	58	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	_			
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	70					
15	15	60	60	0.0	1	1	FiguredBass	4/4	1	1	0					1/2	3__			
15	15	56	56	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	_			
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	71					15
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	72					
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	73					16
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	74					
16	16	60	60	0.0	0	0	FiguredBass	4/4	1	1	0					1	6	5b		
16	16	60	60	4.0	0	0	Chord	4/4	1	1	1		1	1	75					
